Sujeitos,Itens,Ant,Verbo,RT,Pos
3,G,np,sg,1000,p7
4,G,np,sg,544,p7
5,G,np,sg,1736,p7
6,G,np,sg,583,p7
7,G,np,sg,328,p7
8,G,np,sg,1624,p7
9,G,np,sg,416,p7
10,G,np,sg,648,p7
11,G,np,sg,791,p7
12,G,np,sg,767,p7
13,G,np,sg,1456,p7
14,G,np,sg,856,p7
15,G,np,sg,280,p7
16,G,np,sg,480,p7
17,G,np,sg,3023,p7
18,G,np,sg,816,p7
19,G,np,sg,848,p7
20,G,np,sg,1248,p7
21,G,np,sg,1832,p7
22,G,np,sg,760,p7
23,G,np,sg,536,p7
24,G,np,sg,344,p7
25,G,np,sg,280,p7
26,G,np,sg,648,p7
27,G,np,sg,704,p7
28,G,np,sg,1032,p7
29,G,np,sg,1032,p7
30,G,np,sg,192,p7
31,G,np,sg,472,p7
32,G,np,sg,183,p7
1,H,np,sg,1360,p7
2,H,np,sg,3688,p7
3,H,np,sg,944,p7
4,H,np,sg,424,p7
5,H,np,sg,904,p7
6,H,np,sg,999,p7
7,H,np,sg,600,p7
8,H,np,sg,1328,p7
9,H,np,sg,448,p7
10,H,np,sg,784,p7
11,H,np,sg,432,p7
12,H,np,sg,944,p7
13,H,np,sg,672,p7
14,H,np,sg,456,p7
15,H,np,sg,423,p7
16,H,np,sg,584,p7
17,H,np,sg,888,p7
18,H,np,sg,687,p7
19,H,np,sg,1336,p7
20,H,np,sg,808,p7
21,H,np,sg,680,p7
22,H,np,sg,432,p7
23,H,np,sg,624,p7
24,H,np,sg,672,p7
25,H,np,sg,312,p7
26,H,np,sg,608,p7
27,H,np,sg,1040,p7
28,H,np,sg,760,p7
29,H,np,sg,1736,p7
30,H,np,sg,448,p7
31,H,np,sg,304,p7
32,H,np,sg,160,p7
1,I,pp,pl,488,p7
2,I,pp,pl,1976,p7
3,I,pp,pl,504,p7
4,I,pp,pl,416,p7
5,I,pp,pl,640,p7
6,I,pp,pl,1576,p7
7,I,pp,pl,544,p7
8,I,pp,pl,1136,p7
9,I,pp,pl,416,p7
10,I,pp,pl,368,p7
11,I,pp,pl,464,p7
12,I,pp,pl,824,p7
13,I,pp,pl,3554,p7
14,I,pp,pl,448,p7
15,I,pp,pl,272,p7
16,I,pp,pl,376,p7
17,I,pp,pl,1496,p7
18,I,pp,pl,967,p7
19,I,pp,pl,432,p7
20,I,pp,pl,800,p7
21,I,pp,pl,2176,p7
22,I,pp,pl,520,p7
23,I,pp,pl,432,p7
24,I,pp,pl,360,p7
25,I,pp,pl,272,p7
26,I,pp,pl,1120,p7
27,I,pp,pl,1072,p7
28,I,pp,pl,912,p7
29,I,pp,pl,912,p7
30,I,pp,pl,328,p7
31,I,pp,pl,408,p7
32,I,pp,pl,168,p7
1,J,pp,pl,1400,p7
2,J,pp,pl,712,p7
3,J,pp,pl,1384,p7
4,J,pp,pl,440,p7
5,J,pp,pl,360,p7
6,J,pp,pl,608,p7
7,J,pp,pl,1264,p7
8,J,pp,pl,872,p7
9,J,pp,pl,488,p7
10,J,pp,pl,1056,p7
11,J,pp,pl,800,p7
12,J,pp,pl,768,p7
13,J,pp,pl,1608,p7
14,J,pp,pl,560,p7
15,J,pp,pl,640,p7
16,J,pp,pl,592,p7
17,J,pp,pl,1064,p7
18,J,pp,pl,960,p7
19,J,pp,pl,464,p7
20,J,pp,pl,992,p7
21,J,pp,pl,720,p7
22,J,pp,pl,456,p7
23,J,pp,pl,1672,p7
24,J,pp,pl,376,p7
25,J,pp,pl,295,p7
26,J,pp,pl,728,p7
27,J,pp,pl,775,p7
28,J,pp,pl,880,p7
29,J,pp,pl,1591,p7
30,J,pp,pl,528,p7
31,J,pp,pl,424,p7
32,J,pp,pl,168,p7
1,K,pp,pl,368,p7
2,K,pp,pl,1216,p7
3,K,pp,pl,1280,p7
4,K,pp,pl,456,p7
5,K,pp,pl,479,p7
6,K,pp,pl,1016,p7
7,K,pp,pl,360,p7
8,K,pp,pl,1608,p7
9,K,pp,pl,560,p7
10,K,pp,pl,552,p7
11,K,pp,pl,544,p7
12,K,pp,pl,648,p7
13,K,pp,pl,1024,p7
14,K,pp,pl,664,p7
15,K,pp,pl,1112,p7
16,K,pp,pl,608,p7
17,K,pp,pl,704,p7
18,K,pp,pl,752,p7
19,K,pp,pl,536,p7
20,K,pp,pl,704,p7
21,K,pp,pl,1184,p7
22,K,pp,pl,528,p7
23,K,pp,pl,416,p7
24,K,pp,pl,336,p7
25,K,pp,pl,336,p7
26,K,pp,pl,536,p7
27,K,pp,pl,607,p7
28,K,pp,pl,616,p7
29,K,pp,pl,736,p7
30,K,pp,pl,304,p7
31,K,pp,pl,560,p7
32,K,pp,pl,160,p7
1,L,pp,pl,440,p7
2,L,pp,pl,1584,p7
3,L,pp,pl,632,p7
4,L,pp,pl,488,p7
5,L,pp,pl,520,p7
6,L,pp,pl,816,p7
7,L,pp,pl,472,p7
8,L,pp,pl,976,p7
9,L,pp,pl,1312,p7
10,L,pp,pl,792,p7
11,L,pp,pl,1000,p7
12,L,pp,pl,536,p7
13,L,pp,pl,904,p7
14,L,pp,pl,560,p7
15,L,pp,pl,504,p7
16,L,pp,pl,448,p7
17,L,pp,pl,1768,p7
18,L,pp,pl,752,p7
19,L,pp,pl,567,p7
20,L,pp,pl,712,p7
21,L,pp,pl,496,p7
22,L,pp,pl,528,p7
23,L,pp,pl,656,p7
24,L,pp,pl,344,p7
25,L,pp,pl,368,p7
26,L,pp,pl,688,p7
27,L,pp,pl,448,p7
28,L,pp,pl,440,p7
29,L,pp,pl,536,p7
30,L,pp,pl,600,p7
31,L,pp,pl,352,p7
32,L,pp,pl,168,p7
1,M,pp,sg,752,p7
2,M,pp,sg,672,p7
3,M,pp,sg,1240,p7
4,M,pp,sg,471,p7
5,M,pp,sg,2712,p7
6,M,pp,sg,576,p7
7,M,pp,sg,616,p7
8,M,pp,sg,1184,p7
9,M,pp,sg,568,p7
10,M,pp,sg,912,p7
11,M,pp,sg,528,p7
12,M,pp,sg,776,p7
13,M,pp,sg,2248,p7
14,M,pp,sg,544,p7
15,M,pp,sg,248,p7
16,M,pp,sg,496,p7
17,M,pp,sg,432,p7
18,M,pp,sg,744,p7
19,M,pp,sg,567,p7
20,M,pp,sg,816,p7
21,M,pp,sg,1616,p7
22,M,pp,sg,528,p7
23,M,pp,sg,768,p7
24,M,pp,sg,415,p7
25,M,pp,sg,256,p7
26,M,pp,sg,728,p7
27,M,pp,sg,816,p7
28,M,pp,sg,616,p7
29,M,pp,sg,800,p7
30,M,pp,sg,200,p7
31,M,pp,sg,424,p7
32,M,pp,sg,288,p7
1,N,pp,sg,320,p7
2,N,pp,sg,928,p7
3,N,pp,sg,1048,p7
4,N,pp,sg,496,p7
5,N,pp,sg,320,p7
6,N,pp,sg,648,p7
7,N,pp,sg,224,p7
8,N,pp,sg,1000,p7
9,N,pp,sg,360,p7
10,N,pp,sg,680,p7
11,N,pp,sg,384,p7
12,N,pp,sg,616,p7
13,N,pp,sg,864,p7
14,N,pp,sg,487,p7
15,N,pp,sg,392,p7
16,N,pp,sg,560,p7
17,N,pp,sg,1024,p7
18,N,pp,sg,608,p7
19,N,pp,sg,424,p7
20,N,pp,sg,560,p7
21,N,pp,sg,832,p7
22,N,pp,sg,456,p7
23,N,pp,sg,496,p7
24,N,pp,sg,392,p7
25,N,pp,sg,328,p7
26,N,pp,sg,959,p7
27,N,pp,sg,392,p7
28,N,pp,sg,808,p7
29,N,pp,sg,424,p7
30,N,pp,sg,392,p7
31,N,pp,sg,344,p7
32,N,pp,sg,168,p7
1,O,pp,sg,344,p7
2,O,pp,sg,336,p7
3,O,pp,sg,744,p7
4,O,pp,sg,400,p7
5,O,pp,sg,456,p7
6,O,pp,sg,672,p7
7,O,pp,sg,240,p7
8,O,pp,sg,1448,p7
9,O,pp,sg,352,p7
10,O,pp,sg,583,p7
11,O,pp,sg,416,p7
12,O,pp,sg,504,p7
13,O,pp,sg,640,p7
14,O,pp,sg,408,p7
15,O,pp,sg,344,p7
16,O,pp,sg,447,p7
17,O,pp,sg,2151,p7
18,O,pp,sg,512,p7
19,O,pp,sg,672,p7
20,O,pp,sg,960,p7
21,O,pp,sg,896,p7
22,O,pp,sg,568,p7
23,O,pp,sg,448,p7
24,O,pp,sg,512,p7
25,O,pp,sg,319,p7
26,O,pp,sg,647,p7
27,O,pp,sg,376,p7
28,O,pp,sg,856,p7
29,O,pp,sg,536,p7
30,O,pp,sg,360,p7
31,O,pp,sg,376,p7
32,O,pp,sg,184,p7
1,P,pp,sg,240,p7
